Orthogroup	Junonia_coenia	Danaus_plexippus
OG0000093	JC_15357-RA, JC_15358-RA	DPOGS202426-PA, DPOGS203872-PA
OG0000093	JC_15363-RA	DPOGS202424-PA
OG0000094	JC_13682-RA	DPOGS213975-PA
OG0000095	JC_00267-RA, JC_00268-RA, JC_00271-RA	DPOGS204282-PA
OG0000096	JC_09719-RA, JC_09720-RA	DPOGS212592-PA
OG0000096	JC_09724-RA	DPOGS212590-PA
OG0000096	JC_09722-RA, JC_09721-RA	DPOGS212591-PA
OG0000097	JC_08741-RA, JC_11495-RA, JC_11494-RA, JC_12150-RA, JC_12186-RA, JC_12185-RA, JC_12151-RA, JC_11492-RA, JC_11491-RA, JC_11146-RA, JC_16410-RA, JC_11493-RA, JC_11490-RA	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA
OG0000098	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA, JC_05289-RA, JC_16086-RA, JC_16084-RA	DPOGS209226-PA, DPOGS209225-PA
OG0000100	JC_10664-RA	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA
OG0000100	JC_10662-RA	DPOGS215475-PA
OG0000100	JC_10658-RA	DPOGS215477-PA
OG0000101	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA	DPOGS200031-PA
OG0000101	JC_05760-RA	DPOGS200027-PA
OG0000101	JC_05755-RA, JC_05761-RA	DPOGS200026-PA
OG0000102	JC_14892-RA, JC_12066-RA, JC_14237-RA, JC_12068-RA	DPOGS206988-PA
OG0000102	JC_12048-RA	DPOGS206942-PA
OG0000103	JC_11864-RA, JC_11856-RA, JC_11852-RA, JC_11853-RA, JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA, JC_11850-RA, JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA, JC_11860-RA	DPOGS207082-PA
OG0000104	JC_06675-RA	DPOGS200657-PA
OG0000108	JC_12701-RA	DPOGS212246-PA
OG0000108	JC_16471-RA	DPOGS208199-PA
OG0000108	JC_03919-RA, JC_15130-RA, JC_03918-RA	DPOGS209435-PA
OG0000109	JC_02996-RA, JC_02995-RA, JC_02993-RA, JC_02992-RA, JC_02994-RA, JC_03001-RA	DPOGS209375-PA
OG0000110	JC_12230-RA	DPOGS212705-PA
OG0000110	JC_12232-RA, JC_12231-RA	DPOGS212706-PA
OG0000110	JC_12228-RA, JC_12227-RA, JC_12226-RA	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA
OG0000111	JC_06517-RA	DPOGS202624-PA
OG0000111	JC_04966-RA	DPOGS215824-PA
OG0000111	JC_04964-RA	DPOGS215826-PA
OG0000112	JC_08001-RA	DPOGS200671-PA
OG0000112	JC_07998-RA, JC_07999-RA, JC_08000-RA, JC_07995-RA	DPOGS200675-PA, DPOGS200676-PA, DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA, DPOGS210781-PA
OG0000113	JC_16665-RA	DPOGS203348-PA
OG0000113	JC_16657-RA	DPOGS207633-PA
