Orthogroup	Vanessa_cardui	Junonia_coenia
OG0000089	Vcard_DToL04008-RA, Vcard_DToL18811-RA, Vcard_DToL12624-RA, Vcard_DToL09485-RA, Vcard_DToL06496-RA, Vcard_DToL06859-RA, Vcard_DToL06310-RA, Vcard_DToL08080-RA, Vcard_DToL12125-RA, Vcard_DToL09462-RA, Vcard_DToL15284-RA, Vcard_DToL15224-RA, Vcard_DToL17560-RA, Vcard_DToL08537-RA, Vcard_DToL01821-RA	JC_13143-RA, JC_03956-RA, JC_02698-RA, JC_03955-RA, JC_13142-RA
OG0000090	Vcard_DToL04847-RA	JC_04442-RA, JC_04443-RA
OG0000092	Vcard_DToL04259-RA	JC_03404-RA, JC_03406-RA
OG0000092	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA	JC_03407-RA
OG0000093	Vcard_DToL17257-RA	JC_15360-RA
OG0000093	Vcard_DToL17260-RA	JC_15358-RA
OG0000093	Vcard_DToL17256-RA	JC_15363-RA
OG0000094	Vcard_DToL15547-RA	JC_13682-RA
OG0000095	Vcard_DToL02425-RA	JC_00268-RA
OG0000096	Vcard_DToL06351-RA	JC_09724-RA
OG0000096	Vcard_DToL06349-RA	JC_09722-RA, JC_09721-RA
OG0000097	Vcard_DToL11326-RA	JC_11490-RA
OG0000098	Vcard_DToL02960-RA	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA
OG0000100	Vcard_DToL12906-RA	JC_10664-RA
OG0000100	Vcard_DToL12907-RA	JC_10665-RA
OG0000100	Vcard_DToL12904-RA	JC_10662-RA
OG0000100	Vcard_DToL12899-RA	JC_10658-RA
OG0000101	Vcard_DToL09191-RA	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA
OG0000101	Vcard_DToL10113-RA	JC_09706-RA
OG0000102	Vcard_DToL07821-RA	JC_14892-RA
OG0000102	Vcard_DToL07817-RA	JC_12066-RA, JC_14237-RA, JC_12068-RA
OG0000103	Vcard_DToL08117-RA	JC_11856-RA
OG0000103	Vcard_DToL08106-RA, Vcard_DToL08112-RA	JC_11852-RA
OG0000103	Vcard_DToL08124-RA	JC_11853-RA
OG0000103	Vcard_DToL08121-RA	JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA
