Orthogroup	Heliconius_melpomene_melpomene	Heliconius_erato_lativitta
OG0000084	HMEL037105g1.t1, HMEL037108g1.t1	HEL_010678-RA, HEL_010675-RA
OG0000084	HMEL037106g1.t1, HMEL037107g1.t1	HEL_010676-RA
OG0000085	HMEL007950g1.t1	HEL_005303-RA, HEL_010296-RA, HEL_005234-RA
OG0000087	HMEL033933g1.t1, HMEL009120g1.t1, HMEL010522g1.t1	HEL_003928-RA, HEL_003933-RA, HEL_003931-RA, HEL_003934-RA
OG0000087	HMEL009121g1.t1, HMEL033934g1.t1	HEL_003935-RA
OG0000087	HMEL010523g1.t1	HEL_003930-RA
OG0000087	HMEL010521g1.t1	HEL_003927-RA
OG0000087	HMEL033937g1.t1, HMEL033938g1.t1	HEL_003941-RA
OG0000087	HMEL033935g1.t1	HEL_003938-RA, HEL_003937-RA, HEL_003936-RA
OG0000088	HMEL011526g1.t1	HEL_013016-RA
OG0000088	HMEL003757g1.t1, HMEL003755g1.t1, HMEL003754g1.t1	HEL_014145-RA, HEL_012840-RA
OG0000088	HMEL003761g1.t1, HMEL003760g1.t1	HEL_014142-RA
OG0000090	HMEL010419g1.t1	HEL_007626-RA
OG0000091	HMEL035781g1.t1, HMEL035789g1.t1	HEL_010012-RA
OG0000092	HMEL009597g1.t1	HEL_008400-RA
OG0000092	HMEL012374g1.t1, HMEL032947g1.t1, HMEL003048g1.t1, HMEL016489g1.t1, HMEL012376g1.t1, HMEL007577g1.t1, HMEL014517g1.t1	HEL_010287-RA, HEL_010290-RA, HEL_010286-RA, HEL_010285-RA
OG0000093	HMEL006620g1.t1	HEL_005969-RA
OG0000093	HMEL005989g1.t1	HEL_005967-RA, HEL_005968-RA, HEL_005966-RA
OG0000093	HMEL003398g1.t1	HEL_005972-RA
OG0000094	HMEL015375g1.t1	HEL_006926-RA
OG0000094	HMEL030675g1.t1	HEL_006938-RA, HEL_006942-RA
OG0000094	HMEL010458g1.t1	HEL_006905-RA
OG0000094	HMEL003276g1.t1	HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA
OG0000094	HMEL003277g1.t1	HEL_006907-RA
OG0000094	HMEL010780g1.t1	HEL_006901-RA, HEL_006897-RA
OG0000094	HMEL003278g1.t1	HEL_010220-RA, HEL_006911-RA
OG0000095	HMEL003312g1.t1	HEL_001292-RA
OG0000096	HMEL034898g1.t1	HEL_010168-RA
OG0000096	HMEL034900g1.t1	HEL_010172-RA
OG0000096	HMEL034901g1.t1	HEL_010173-RA
OG0000096	HMEL006028g1.t1	HEL_010165-RA
OG0000097	HMEL013001g1.t1	HEL_008951-RA
OG0000097	HMEL013003g1.t1	HEL_008950-RA
OG0000097	HMEL012997g1.t1	HEL_008948-RA
OG0000098	HMEL034286g1.t1, HMEL034287g1.t1, HMEL034288g1.t1, HMEL010981g1.t1, HMEL034285g1.t1	HEL_005540-RA
OG0000100	HMEL016056g1.t1	HEL_005774-RA
OG0000100	HMEL016051g1.t1, HMEL036651g1.t1	HEL_005770-RA
OG0000100	HMEL016050g1.t1	HEL_005771-RA
OG0000100	HMEL036652g1.t1	HEL_005773-RA
OG0000100	HMEL016058g1.t1	HEL_005776-RA
OG0000101	HMEL013064g1.t1, HMEL035350g1.t1	HEL_010134-RA, HEL_010133-RA
OG0000102	HMEL003225g1.t1	HEL_013146-RA
OG0000102	HMEL033321g1.t1	HEL_013140-RA
OG0000102	HMEL033320g1.t1	HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA
OG0000102	HMEL011071g1.t1, HMEL011072g1.t1, HMEL033319g1.t1	HEL_013135-RA
OG0000102	HMEL003365g1.t1	HEL_013147-RA
OG0000103	HMEL004144g1.t1	HEL_008320-RA
OG0000106	HMEL031177g1.t1, HMEL031314g1.t1, HMEL030142g1.t1, HMEL036445g1.t1, HMEL031249g1.t1, HMEL037250g1.t1, HMEL031930g1.t1, HMEL034708g1.t1, HMEL014798g1.t1, HMEL033415g1.t1, HMEL037305g1.t1, HMEL030238g1.t1, HMEL031140g1.t1, HMEL034274g1.t1, HMEL031868g1.t1, HMEL037411g1.t1, HMEL011801g1.t1, HMEL033895g1.t1, HMEL015060g1.t1, HMEL033894g1.t1, HMEL022151g1.t1, HMEL033393g1.t1, HMEL031929g1.t1, HMEL031409g1.t1, HMEL032596g1.t1, HMEL031989g1.t1, HMEL031869g1.t1, HMEL037891g1.t1, HMEL031009g1.t1, HMEL006149g1.t1	HEL_014493-RA
OG0000108	HMEL013215g1.t1, HMEL010963g1.t1	HEL_009657-RA, HEL_009862-RA
OG0000108	HMEL017787g1.t1, HMEL031414g1.t1	HEL_013515-RA
