Orthogroup	Heliconius_melpomene_melpomene	Bicyclus_anynana
OG0000025	HMEL037385g1.t1	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA
OG0000025	HMEL037372g1.t1, HMEL011166g1.t1	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA
OG0000028	HMEL004610g1.t1, HMEL014440g1.t1	Bany_14270-RA, Bany_14337-RA, Bany_14336-RA, Bany_14338-RA, Bany_14339-RA, Bany_14335-RA, Bany_07987-RA, Bany_01182-RA
OG0000029	HMEL003326g1.t1	Bany_00663-RA, Bany_00664-RA, Bany_06091-RA
OG0000030	HMEL034229g1.t1, HMEL036448g1.t1, HMEL032725g1.t1, HMEL037768g1.t1, HMEL036584g1.t1, HMEL032978g1.t1, HMEL035819g1.t1, HMEL011301g1.t1, HMEL036282g1.t1, HMEL033409g1.t1, HMEL032399g1.t1, HMEL030652g1.t1, HMEL034963g1.t1, HMEL036135g1.t1, HMEL033602g1.t1, HMEL031315g1.t1, HMEL035128g1.t1, HMEL034341g1.t1, HMEL013000g1.t1, HMEL032293g1.t1, HMEL033328g1.t1, HMEL037786g1.t1, HMEL036565g1.t1, HMEL034643g1.t1, HMEL031720g1.t1, HMEL033100g1.t1, HMEL033661g1.t1, HMEL031422g1.t1, HMEL034550g1.t1, HMEL033090g1.t1, HMEL035370g1.t1, HMEL032165g1.t1, HMEL030385g1.t1, HMEL030029g1.t1, HMEL032042g1.t1, HMEL013454g1.t1, HMEL035824g1.t1, HMEL034817g1.t1, HMEL036433g1.t1, HMEL034040g1.t1, HMEL032650g1.t1, HMEL035477g1.t1, HMEL034124g1.t1, HMEL034937g1.t1, HMEL032383g1.t1, HMEL011159g1.t1, HMEL034240g1.t1, HMEL030169g1.t1, HMEL002816g1.t1, HMEL036322g1.t1, HMEL002262g1.t1, HMEL036920g1.t1, HMEL037281g1.t1, HMEL036325g1.t1, HMEL008163g1.t1, HMEL033515g1.t1, HMEL031684g1.t1, HMEL031803g1.t1, HMEL031748g1.t1, HMEL021952g1.t1, HMEL034066g1.t1	Bany_15771-RA
OG0000031	HMEL034216g1.t1, HMEL037646g1.t1, HMEL034645g1.t1, HMEL031436g1.t1, HMEL030105g1.t1, HMEL035683g1.t1, HMEL015624g1.t1, HMEL033688g1.t1, HMEL035475g1.t1, HMEL034126g1.t1, HMEL035750g1.t1, HMEL030037g1.t1, HMEL036916g1.t1, HMEL035917g1.t1, HMEL032654g1.t1, HMEL031633g1.t1, HMEL034340g1.t1, HMEL035692g1.t1, HMEL033329g1.t1, HMEL006082g1.t1, HMEL033192g1.t1, HMEL030783g1.t1, HMEL030314g1.t1, HMEL035840g1.t1, HMEL033794g1.t1, HMEL035444g1.t1, HMEL014963g1.t1, HMEL037193g1.t1, HMEL032003g1.t1, HMEL034168g1.t1, HMEL006868g1.t1, HMEL032266g1.t1, HMEL021670g1.t1, HMEL034218g1.t1, HMEL034560g1.t1, HMEL033685g1.t1, HMEL035355g1.t1, HMEL033511g1.t1, HMEL031327g1.t1, HMEL032685g1.t1, HMEL036418g1.t1	Bany_18042-RA
OG0000031	HMEL031620g1.t1, HMEL034156g1.t1, HMEL033421g1.t1, HMEL032395g1.t1	Bany_11193-RA
OG0000032	HMEL030081g1.t1, HMEL032977g1.t1	Bany_00996-RA
OG0000032	HMEL015875g1.t1	Bany_16255-RA, Bany_08768-RA, Bany_04302-RA, Bany_08457-RA, Bany_05258-RA, Bany_05674-RA, Bany_14909-RA, Bany_07405-RA
OG0000034	HMEL033976g1.t1	Bany_05253-RA
OG0000034	HMEL033982g1.t1	Bany_05243-RA
OG0000034	HMEL033974g1.t1	Bany_05248-RA
OG0000035	HMEL016208g1.t1	Bany_02371-RA
OG0000035	HMEL036401g1.t1	Bany_01586-RA, Bany_17576-RA
OG0000035	HMEL034209g1.t1	Bany_00397-RA
OG0000035	HMEL005543g1.t1	Bany_07002-RA, Bany_10949-RA, Bany_17092-RA, Bany_12724-RA, Bany_09887-RA, Bany_13908-RA, Bany_12281-RA
OG0000035	HMEL014459g1.t1	Bany_11755-RA, Bany_13020-RA
OG0000035	HMEL036120g1.t1	Bany_03344-RA
OG0000035	HMEL034208g1.t1, HMEL036402g1.t1	Bany_05682-RA, Bany_01945-RA
OG0000035	HMEL035534g1.t1, HMEL036982g1.t1, HMEL033745g1.t1	Bany_10143-RA, Bany_04488-RA, Bany_01051-RA, Bany_18095-RA, Bany_17278-RA
OG0000035	HMEL035878g1.t1, HMEL031609g1.t1	Bany_07608-RA, Bany_15639-RA, Bany_12581-RA
OG0000036	HMEL034344g1.t1	Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA
OG0000038	HMEL031441g1.t1	Bany_01918-RA
OG0000039	HMEL003566-RA	Bany_01637-RA
OG0000039	HMEL026010g1.t1, HMEL026012g1.t1, HMEL026009g1.t1, HMEL018121g1.t1, HMEL010595-RA	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA
OG0000039	HMEL017154-RA	Bany_01356-RA
OG0000041	HMEL032630g1.t1	Bany_11570-RA
OG0000041	HMEL013650g1.t1	Bany_02601-RA, Bany_02598-RA, Bany_02599-RA, Bany_02600-RA
OG0000041	HMEL004252g1.t1	Bany_02401-RA, Bany_02400-RA
OG0000044	HMEL032064g1.t1, HMEL037442g1.t1, HMEL034194g1.t1, HMEL030967g1.t1, HMEL034475g1.t1, HMEL036260g1.t1, HMEL036261g1.t1, HMEL033354g1.t1, HMEL036599g1.t1, HMEL030413g1.t1, HMEL003634g1.t1, HMEL034121g1.t1, HMEL035823g1.t1, HMEL030942g1.t1	Bany_01938-RA
OG0000044	HMEL031425g1.t1, HMEL006539g1.t1, HMEL032923g1.t1, HMEL036259g1.t1, HMEL012540g1.t1, HMEL030024g1.t1, HMEL030414g1.t1, HMEL034195g1.t1, HMEL034559g1.t1, HMEL032957g1.t1, HMEL030659g1.t1, HMEL033357g1.t1, HMEL033772g1.t1, HMEL033401g1.t1, HMEL032958g1.t1, HMEL032080g1.t1, HMEL035078g1.t1, HMEL037465g1.t1, HMEL009996g1.t1	Bany_12753-RA
OG0000046	HMEL010111g1.t1	Bany_15456-RA, Bany_15454-RA, Bany_15461-RA, Bany_15459-RA, Bany_15457-RA, Bany_15458-RA, Bany_15460-RA, Bany_15455-RA
OG0000048	HMEL022308g1.t1	Bany_12304-RA
OG0000049	HMEL002471-RA	Bany_06008-RA
OG0000049	HMEL034903g1.t1	Bany_06021-RA
OG0000050	HMEL017067-RA, HMEL017068-RA, HMEL022575-RA	Bany_14319-RA
OG0000050	HMEL017069-RA, HMEL017066-RA, HMEL022564-RA	Bany_14321-RA
OG0000052	HMEL013845g1.t1	Bany_00561-RA
OG0000053	HMEL030922g1.t1	Bany_05073-RA
OG0000053	HMEL009070g1.t1	Bany_05075-RA
OG0000053	HMEL009073g1.t1	Bany_05076-RA
OG0000054	HMEL018015g1.t1	Bany_08678-RA
OG0000054	HMEL031506g1.t1, HMEL031507g1.t1	Bany_08681-RA, Bany_08727-RA
OG0000054	HMEL031505g1.t1	Bany_08680-RA
OG0000055	HMEL032595g1.t1, HMEL034059g1.t1, HMEL035492g1.t1, HMEL008379g1.t1, HMEL030552g1.t1, HMEL014284g1.t1	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA
OG0000055	HMEL033237g1.t1	Bany_12890-RA, Bany_05677-RA
